"TVal","predicted_rating"
1,3.56570458404072
2,3.5879385964912
3,3.61017260894168
4,3.63240662139216
5,3.65464063384264
6,3.67687464629312
7,3.6991086587436
8,3.72134267119408
9,3.74357668364456
10,3.76581069609504
11,3.78804470854553
12,3.81027872099601
13,3.83251273344649
14,3.85474674589697
15,3.87698075834745
16,3.89921477079793
17,3.92144878324841
18,3.94368279569889
19,3.96591680814937
20,3.98815082059985
21,4.01038483305033
22,4.03261884550082
23,4.0548528579513
24,4.07708687040178
25,4.09932088285226
26,4.12155489530274
27,4.14378890775322
28,4.1660229202037
29,4.18825693265418
30,4.21049094510466
31,4.23272495755514
32,4.25495897000563
33,4.27719298245611
34,4.29942699490659
35,4.32166100735707
36,4.34389501980755
37,4.36612903225803
38,4.38836304470851
39,4.41059705715899
40,4.43283106960947
41,4.45506508205995
42,4.47729909451044
43,4.49953310696092
44,4.5217671194114
45,4.54400113186188
46,4.56623514431236
47,4.58846915676284
48,4.61070316921332
49,4.6329371816638
50,4.65517119411428
51,4.67740520656476
52,4.69963921901524
53,4.72187323146573
54,4.74410724391621
55,4.76634125636669
56,4.78857526881717
57,4.81080928126765
58,4.83304329371813
59,4.85527730616861
60,4.87751131861909
61,4.89974533106957
62,4.92197934352005
63,4.94421335597054
64,4.96644736842102
65,4.9886813808715
66,5.01091539332198
67,5.03314940577246
68,5.05538341822294
69,5.07761743067342
70,5.0998514431239
71,5.12208545557438
72,5.14431946802486
73,5.16655348047535
74,5.18878749292583
75,5.21102150537631
76,5.23325551782679
77,5.25548953027727
78,5.27772354272775
79,5.29995755517823
80,5.32219156762871
81,5.34442558007919
82,5.36665959252967
83,5.38889360498016
84,5.41112761743064
85,5.43336162988112
86,5.4555956423316
87,5.47782965478208
88,5.50006366723256
89,5.52229767968304
90,5.54453169213352
91,5.566765704584
92,5.58899971703448
93,5.61123372948497
94,5.63346774193545
95,5.65570175438593
96,5.67793576683641
97,5.70016977928689
98,5.72240379173737
99,5.74463780418785
100,5.76687181663833
101,5.78910582908881
102,5.81133984153929
103,5.83357385398977
104,5.85580786644026
105,5.87804187889074
106,5.90027589134122
107,5.9225099037917
108,5.94474391624218
109,5.96697792869266
110,5.98921194114314
111,6.01144595359362
112,6.0336799660441
113,6.05591397849458
114,6.07814799094507
115,6.10038200339555
116,6.12261601584603
117,6.14485002829651
118,6.16708404074699
119,6.18931805319747
120,6.21155206564795
