tTotal,prob
2,0.003267974
3,0.013071895
4,0.003267974
6,0.003267974
7,0.003267974
10,0.013071895
12,0.009803922
15,0.022875817
20,0.04248366
22,0.003267974
23,0.003267974
25,0.058823529
26,0.003267974
27,0.006535948
30,0.104575163
31,0.003267974
32,0.003267974
33,0.016339869
34,0.003267974
35,0.045751634
36,0.003267974
37,0.006535948
40,0.071895425
42,0.016339869
43,0.016339869
44,0.003267974
45,0.049019608
47,0.003267974
48,0.003267974
50,0.055555556
53,0.003267974
54,0.006535948
55,0.035947712
56,0.003267974
57,0.003267974
60,0.065359477
62,0.003267974
63,0.003267974
65,0.019607843
70,0.022875817
74,0.003267974
75,0.022875817
77,0.003267974
79,0.003267974
80,0.026143791
82,0.006535948
83,0.003267974
85,0.016339869
88,0.003267974
89,0.003267974
90,0.013071895
95,0.006535948
105,0.019607843
110,0.006535948
113,0.003267974
115,0.003267974
120,0.029411765
132,0.003267974
134,0.003267974
135,0.003267974
140,0.003267974
150,0.006535948
155,0.003267974
170,0.006535948
180,0.006535948
187,0.003267974
195,0.003267974
202,0.003267974
215,0.003267974
235,0.003267974
265,0.003267974
280,0.003267974
310,0.003267974
390,0.003267974
