"runtime","prob"
"1",0.0167431426532069
"2",0.0366676863464872
"3",0.0272050576119099
"4",0.0285306413786071
"5",0.0270623024370348
"6",0.0227592535943714
"7",0.0231467319261752
"8",0.0225349240338534
"9",0.019577852554298
"10",0.0276741103293566
"11",0.0176812480881003
"12",0.0181299072091363
"13",0.0160293667788314
"14",0.0167839298460283
"15",0.0167023554603854
"16",0.0149485061690629
"17",0.0145814214336698
"18",0.0132354440705618
"19",0.0132354440705618
"20",0.0142755174875089
"21",0.013296624859794
"22",0.0142143366982767
"23",0.0130111145100438
"24",0.0130315081064546
"25",0.0152544101152238
"26",0.0166411746711533
"27",0.0177628224737432
"28",0.0211685530743347
"29",0.0182930559804221
"30",0.0198837565004589
"31",0.0155807076577955
"32",0.0148873253798307
"33",0.0133781992454369
"34",0.0131946568777404
"35",0.0139084327521158
"36",0.0129907209136331
"37",0.0136433159987764
"38",0.0143774854695626
"39",0.0132354440705618
"40",0.0143570918731518
"41",0.0132354440705618
"42",0.0145610278372591
"43",0.0131946568777404
"44",0.0150300805547058
"45",0.0126848169674722
"46",0.0126848169674722
"47",0.0116039563577037
"48",0.0114815947792393
"49",0.0104007341694708
"50",0.0109513612725604
"51",0.0108697868869175
"52",0.0123177322320791
"53",0.0122973386356684
"54",0.0114815947792393
"55",0.0137248903844193
"56",0.0126440297746508
"57",0.0133578056490262
"58",0.0136841031915978
"59",0.0209442235138167
"60",0.00546548383807484
"61",0.00405832568573468
"62",0.00199857244825125
"63",0.00175384929132252
"64",0.00120322218823289
"65",0.00106046701335781
"66",0.000978892627714898
"67",0.000856531049250535
"68",0.00108086060976853
"69",0.000836137452839808
"70",0.000938105434893443
"71",0.000897318242071989
"72",0.000672988681553992
"73",0.000693382277964719
"74",0.000591414295911084
"75",0.000571020699500357
"76",0.0007545630671969
"77",0.000387478331803814
"78",0.000611807892321811
"79",0.000938105434893443
"80",0.000305903946160905
"81",0.000285510349750178
"82",0.000367084735393087
"83",0.000407871928214541
"84",0.00034669113898236
"85",0.000611807892321811
"86",0.000244723156928724
"87",0.000387478331803814
"88",0.000428265524625268
"89",0.000387478331803814
"90",0.000611807892321811
"91",0.000285510349750178
"92",0.000326297542571633
"93",0.000285510349750178
"94",0.000285510349750178
"95",0.00020393596410727
"96",0.000285510349750178
"97",0.000183542367696543
"98",0.000224329560517997
"99",0.00020393596410727
"100",0.000163148771285816
"101",0.00020393596410727
"102",0.000224329560517997
"103",0.000163148771285816
"104",0.000122361578464362
"105",0.000142755174875089
"106",0.000142755174875089
"107",0.000224329560517997
"108",0.000163148771285816
"109",0.000183542367696543
"110",0.00122361578464362
"111",0.00020393596410727
"112",0.00020393596410727
"113",0.000101967982053635
"114",0.000101967982053635
"115",0.000101967982053635
"116",0.000142755174875089
"117",0.000224329560517997
"118",0.000305903946160905
"119",0.000285510349750178
"120",0.000938105434893443
"121",0.000326297542571633
"122",0.000244723156928724
"123",0.000142755174875089
"125",0.000122361578464362
"126",0.000101967982053635
"127",0.000101967982053635
"128",6.11807892321811e-05
"129",0.000142755174875089
"130",0.000101967982053635
"131",6.11807892321811e-05
"132",2.0393596410727e-05
"133",8.15743856429081e-05
"134",2.0393596410727e-05
"135",2.0393596410727e-05
"136",2.0393596410727e-05
"137",4.07871928214541e-05
"139",2.0393596410727e-05
"140",4.07871928214541e-05
"141",6.11807892321811e-05
"142",2.0393596410727e-05
"143",4.07871928214541e-05
"147",2.0393596410727e-05
"149",6.11807892321811e-05
"150",8.15743856429081e-05
"152",4.07871928214541e-05
"153",2.0393596410727e-05
"154",2.0393596410727e-05
"156",6.11807892321811e-05
"157",2.0393596410727e-05
"158",2.0393596410727e-05
"160",6.11807892321811e-05
"161",2.0393596410727e-05
"162",4.07871928214541e-05
"163",2.0393596410727e-05
"164",2.0393596410727e-05
"169",4.07871928214541e-05
"171",0.000101967982053635
"172",2.0393596410727e-05
"173",8.15743856429081e-05
"175",4.07871928214541e-05
"176",6.11807892321811e-05
"177",8.15743856429081e-05
"178",8.15743856429081e-05
"179",0.000142755174875089
"180",8.15743856429081e-05
"181",0.000122361578464362
"182",2.0393596410727e-05
"183",2.0393596410727e-05
"184",2.0393596410727e-05
"185",2.0393596410727e-05
"186",2.0393596410727e-05
"187",4.07871928214541e-05
"189",6.11807892321811e-05
"191",2.0393596410727e-05
"192",4.07871928214541e-05
"194",2.0393596410727e-05
"198",2.0393596410727e-05
"203",4.07871928214541e-05
"204",2.0393596410727e-05
"206",2.0393596410727e-05
"209",2.0393596410727e-05
"212",2.0393596410727e-05
"217",2.0393596410727e-05
"227",2.0393596410727e-05
"229",2.0393596410727e-05
"232",2.0393596410727e-05
"233",2.0393596410727e-05
"235",4.07871928214541e-05
"236",2.0393596410727e-05
"237",4.07871928214541e-05
"238",2.0393596410727e-05
"239",2.0393596410727e-05
"242",2.0393596410727e-05
"253",2.0393596410727e-05
"266",2.0393596410727e-05
"270",2.0393596410727e-05
"278",2.0393596410727e-05
"281",2.0393596410727e-05
"301",0.000530233506678903
"2760",2.0393596410727e-05
"3533",2.0393596410727e-05
"3633",2.0393596410727e-05
"3856",2.0393596410727e-05
"3998",2.0393596410727e-05
"4398",2.0393596410727e-05
"5664",2.0393596410727e-05
"30000",2.0393596410727e-05
