"Subject","Story","Level","Context","Prediction","T_val","z_score"
4,"cake",3,"Social",70,35,3.6455405953731
4,"cake",4,"Social",100,50,6.6206032289507
4,"cake",5,"Social",140,70,6.3084891769262
27,"cake",3,"Social",90,35,6.18894101074968
27,"cake",4,"Social",90,50,5.13215825841322
60,"cake",5,"Social",120,70,4.3133945605675
92,"cake",4,"Social",80,50,3.64371328787575
97,"cake",1,"Social",60,10,3.69763215066603
120,"cake",2,"Social",60,20,4.080133521948
120,"cake",3,"Social",70,35,3.6455405953731
126,"cake",1,"Social",60,10,3.69763215066603
126,"cake",2,"Social",60,20,4.080133521948
135,"cake",5,"Social",120,70,4.3133945605675
150,"cake",1,"Social",60,10,3.69763215066603
150,"cake",2,"Social",60,20,4.080133521948
38,"movie",2,"Social",240,45,3.62576606060357
38,"movie",3,"Social",240,60,3.50066187848959
60,"movie",1,"Social",240,30,3.86872478261224
60,"movie",2,"Social",240,45,3.62576606060357
60,"movie",3,"Social",240,60,3.50066187848959
60,"movie",4,"Social",240,85,3.59721615357687
60,"movie",5,"Social",240,100,3.42983822300082
86,"movie",4,"Social",240,85,3.59721615357687
110,"movie",4,"Social",240,85,3.59721615357687
110,"movie",5,"Social",240,100,3.42983822300082
8,"podcast",1,"Social",45,15,3.44967633107113
9,"podcast",2,"Social",60,30,3.85865935444631
12,"podcast",1,"Social",60,15,5.4521974210892
12,"podcast",2,"Social",60,30,3.85865935444631
12,"podcast",4,"Social",120,75,4.5162110414128
13,"podcast",1,"Social",60,15,5.4521974210892
39,"podcast",2,"Social",60,30,3.85865935444631
39,"podcast",4,"Social",120,75,4.5162110414128
47,"podcast",5,"Social",150,105,6.17210309406436
51,"podcast",1,"Social",45,15,3.44967633107113
66,"podcast",3,"Social",105,55,6.47410005793734
107,"podcast",2,"Social",60,30,3.85865935444631
107,"podcast",3,"Social",120,55,8.58981903111948
107,"podcast",4,"Social",135,75,6.22978184127431
107,"podcast",5,"Social",140,105,4.63087541950193
112,"podcast",1,"Social",45,15,3.44967633107113
112,"podcast",2,"Social",60,30,3.85865935444631
136,"podcast",2,"Social",60,30,3.85865935444631
136,"podcast",4,"Social",120,75,4.5162110414128
148,"podcast",1,"Social",45,15,3.44967633107113
48,"cake",4,"Non-Social",100,50,3.9494182259379
79,"cake",1,"Non-Social",120,10,5.29953128276226
79,"cake",2,"Non-Social",120,20,6.20364340771629
79,"cake",3,"Non-Social",120,35,4.19193171914164
79,"cake",4,"Non-Social",120,50,5.90975156111554
94,"cake",3,"Non-Social",190,35,8.17737929710137
94,"cake",5,"Non-Social",190,70,5.90419375760596
102,"cake",1,"Non-Social",90,10,3.51169930342122
102,"cake",2,"Non-Social",90,20,4.03672612643683
129,"cake",3,"Non-Social",120,35,4.19193171914164
135,"cake",1,"Non-Social",90,10,3.51169930342122
135,"cake",2,"Non-Social",90,20,4.03672612643683
140,"cake",5,"Non-Social",150,70,3.60847976981283
66,"movie",1,"Non-Social",200,30,3.11566371713629
66,"movie",2,"Non-Social",200,45,3.3728244381566
66,"movie",3,"Non-Social",200,60,3.31240539118955
66,"movie",4,"Non-Social",200,85,3.47865194412389
66,"movie",5,"Non-Social",200,100,3.54205609456846
118,"movie",2,"Non-Social",190,45,3.03119187301142
118,"movie",4,"Non-Social",190,85,3.07248879971774
118,"movie",5,"Non-Social",190,100,3.0542143773843
128,"movie",5,"Non-Social",240,100,5.49342296330511
5,"podcast",5,"Non-Social",200,105,3.76836196768105
20,"podcast",4,"Non-Social",180,75,3.48040239041488
33,"podcast",5,"Non-Social",210,105,4.26625177227205
43,"podcast",1,"Non-Social",240,15,6.67382032333037
43,"podcast",2,"Non-Social",240,30,7.09560375381904
43,"podcast",3,"Non-Social",240,55,6.19823762197341
43,"podcast",4,"Non-Social",240,75,6.00833568988497
43,"podcast",5,"Non-Social",240,105,5.75992118604504
101,"podcast",4,"Non-Social",170,75,3.05908017383653
101,"podcast",5,"Non-Social",230,105,5.26203138145404
113,"podcast",1,"Non-Social",180,15,4.64132225518022
113,"podcast",2,"Non-Social",180,30,4.78983996899916
113,"podcast",3,"Non-Social",180,55,3.94314854093041
113,"podcast",4,"Non-Social",180,75,3.48040239041488
136,"podcast",1,"Non-Social",150,15,3.62507322110514
136,"podcast",2,"Non-Social",155,30,3.82910505865755
